title,token_count,arxiv_id,category,categories,query_field,published_date,collection_timestamp
RDPM: Solve Diffusion Probabilistic Models via Recurrent Token Prediction,312,2412.18390v1,cs.CV,"cs.CV,cs.AI,cs.LG,cs.MM",artificial intelligence,2024-12-24,2024-12-26T11:24:07.888140
Weak Scaling Capability in Token Space: An Observation from Large Vision Language Model,250,2412.18387v1,cs.AI,"cs.AI,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.889138
ChaI-TeA: A Benchmark for Evaluating Autocompletion of Interactions with LLM-based Chatbots,235,2412.18377v1,cs.CL,"cs.CL,cs.AI,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.889138
A Many Objective Problem Where Crossover is Provably Indispensable,177,2412.18375v1,cs.NE,"cs.NE,cs.AI,cs.DS",artificial intelligence,2024-12-24,2024-12-26T11:24:07.890135
Unveiling the Threat of Fraud Gangs to Graph Neural Networks: Multi-Target Graph Injection Attacks against GNN-Based Fraud Detectors,298,2412.18370v1,cs.LG,"cs.LG,cs.AI,cs.CR",artificial intelligence,2024-12-24,2024-12-26T11:24:07.890135
Hypergraph Attacks via Injecting Homogeneous Nodes into Elite Hyperedges,230,2412.18365v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.891132
Extracting triples from dialogues for conversational social agents,226,2412.18364v1,cs.CL,cs.CL,artificial intelligence,2024-12-24,2024-12-26T11:24:07.892130
Point-DeepONet: A Deep Operator Network Integrating PointNet for Nonlinear Analysis of Non-Parametric 3D Geometries and Load Conditions,338,2412.18362v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.893127
StaR Maps: Unveiling Uncertainty in Geospatial Relations,222,2412.18356v1,cs.RO,cs.RO,artificial intelligence,2024-12-24,2024-12-26T11:24:07.893127
Addressing Spatial-Temporal Data Heterogeneity in Federated Continual Learning via Tail Anchor,250,2412.18355v1,cs.CV,"cs.CV,cs.AI,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.894125
The Thousand Brains Project: A New Paradigm for Sensorimotor Intelligence,362,2412.18354v1,cs.AI,"cs.AI,q-bio.NC",artificial intelligence,2024-12-24,2024-12-26T11:24:07.895122
Multi-Agents Based on Large Language Models for Knowledge-based Visual Question Answering,219,2412.18351v1,cs.CL,"cs.CL,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.896120
The Value of AI-Generated Metadata for UGC Platforms: Evidence from a Large-scale Field Experiment,356,2412.18337v1,econ.GN,"econ.GN,cs.AI,cs.HC,q-fin.EC",artificial intelligence,2024-12-24,2024-12-26T11:24:07.896120
FloNa: Floor Plan Guided Embodied Visual Navigation,239,2412.18335v1,cs.RO,"cs.RO,cs.AI,cs.CV",artificial intelligence,2024-12-24,2024-12-26T11:24:07.897117
Exploring Graph Mamba: A Comprehensive Survey on State-Space Models for Graph Learning,240,2412.18322v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.898115
Computer Vision-Driven Gesture Recognition: Toward Natural and Intuitive Human-Computer,266,2412.18321v1,cs.CV,cs.CV,artificial intelligence,2024-12-24,2024-12-26T11:24:07.899111
Mulberry: Empowering MLLM with o1-like Reasoning and Reflection via Collective Monte Carlo Tree Search,255,2412.18319v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.899111
Data-Driven Self-Supervised Graph Representation Learning,330,2412.18316v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.900109
M-Ped: Multi-Prompt Ensemble Decoding for Large Language Models,233,2412.18299v1,cs.CL,"cs.CL,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.901106
"Quo Vadis, Anomaly Detection? LLMs and VLMs in the Spotlight",245,2412.18298v1,cs.CV,"cs.CV,cs.AI,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.901106
"Navigating Data Corruption in Machine Learning: Balancing Quality, Quantity, and Imputation Strategies",347,2412.18296v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.902103
Pirates of the RAG: Adaptively Attacking LLMs to Leak Knowledge Bases,215,2412.18295v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.903101
MinsStudio: A Streamlined Package for Minecraft AI Agent Development,151,2412.18293v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.903101
DeepCRCEval: Revisiting the Evaluation of Code Review Comment Generation,284,2412.18291v1,cs.SE,"cs.SE,cs.AI,cs.CL,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.904098
Towards understanding how attention mechanism works in deep learning,287,2412.18288v1,cs.LG,"cs.LG,cs.AI,cs.CV,stat.ML,68T07,I.2.6; I.5.1",artificial intelligence,2024-12-24,2024-12-26T11:24:07.905095
Semi-supervised Credit Card Fraud Detection via Attribute-Driven Graph Representation,232,2412.18287v1,cs.LG,"cs.LG,cs.AI,cs.SI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.906093
GDM4MMIMO: Generative Diffusion Models for Massive MIMO Communications,323,2412.18281v1,cs.IT,"cs.IT,cs.LG,eess.SP,math.IT",artificial intelligence,2024-12-24,2024-12-26T11:24:07.906093
Improving Multi-Step Reasoning Abilities of Large Language Models with Direct Advantage Policy Optimization,266,2412.18279v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.907090
GenAI Content Detection Task 2: AI vs. Human -- Academic Essay Authenticity Challenge,241,2412.18274v1,cs.CL,"cs.CL,cs.AI,68T50,F.2.2; I.2.7",artificial intelligence,2024-12-24,2024-12-26T11:24:07.908087
Sampling Bag of Views for Open-Vocabulary Object Detection,276,2412.18273v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.909085
Annotating References to Mythological Entities in French Literature,187,2412.18270v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.909085
Investigating Large Language Models for Code Vulnerability Detection: An Experimental Study,270,2412.18260v1,cs.CL,cs.CL,artificial intelligence,2024-12-24,2024-12-26T11:24:07.910082
Robust Semi-Supervised Learning in Open Environments,194,2412.18256v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.911079
Detection and Forecasting of Parkinson Disease Progression from Speech Signal Features Using MultiLayer Perceptron and LSTM,146,2412.18248v1,cs.LG,"cs.LG,cs.AI,cs.SD,eess.AS",artificial intelligence,2024-12-24,2024-12-26T11:24:07.911079
Fréchet regression for multi-label feature selection with implicit regularization,118,2412.18247v1,stat.ML,"stat.ML,cs.AI,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.911079
An Automatic Graph Construction Framework based on Large Language Models for Recommendation,386,2412.18241v1,cs.IR,"cs.IR,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.912077
OMG-HD: A High-Resolution AI Weather Model for End-to-End Forecasts from Observations,306,2412.18239v1,physics.ao-ph,"physics.ao-ph,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.913074
Expand VSR Benchmark for VLLM to Expertize in Spatial Rules,348,2412.18224v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.914071
Leveraging Convolutional Neural Network-Transformer Synergy for Predictive Modeling in Risk-Based Applications,308,2412.18222v1,q-fin.RM,"q-fin.RM,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.915069
Accelerating AIGC Services with Latent Action Diffusion Scheduling in Edge Networks,325,2412.18212v1,cs.LG,"cs.LG,cs.DC",artificial intelligence,2024-12-24,2024-12-26T11:24:07.916066
Sharper Error Bounds in Late Fusion Multi-view Clustering Using Eigenvalue Proportion,277,2412.18207v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.916066
An AI-directed analytical study on the optical transmission microscopic images of Pseudomonas aeruginosa in planktonic and biofilm states,192,2412.18205v1,physics.med-ph,"physics.med-ph,physics.bio-ph,physics.optics",artificial intelligence,2024-12-24,2024-12-26T11:24:07.917063
Developing Cryptocurrency Trading Strategy Based on Autoencoder-CNN-GANs Algorithms,209,2412.18202v1,cs.LG,"cs.LG,q-fin.ST",artificial intelligence,2024-12-24,2024-12-26T11:24:07.918061
Indices of quadratic programs over reproducing kernel Hilbert spaces for fun and profit,101,2412.18201v1,math.OC,"math.OC,math.CV,math.FA,q-fin.PM,q-fin.PR,30C15, 30C80, 47B32, 46E22, 91G10, 90C20",artificial intelligence,2024-12-24,2024-12-26T11:24:07.918061
VLABench: A Large-Scale Benchmark for Language-Conditioned Robotics Manipulation with Long-Horizon Reasoning Tasks,314,2412.18194v1,cs.RO,"cs.RO,cs.AI,cs.CL,cs.CV",artificial intelligence,2024-12-24,2024-12-26T11:24:07.919058
An Analysis on Automated Metrics for Evaluating Japanese-English Chat Translation,181,2412.18190v1,cs.CL,"cs.CL,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.919058
On the Applicability of Zero-Shot Cross-Lingual Transfer Learning for Sentiment Classification in Distant Language Pairs,148,2412.18188v1,cs.CL,"cs.CL,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.920055
TextMatch: Enhancing Image-Text Consistency Through Multimodal Optimization,218,2412.18185v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.920055
Enhancing Online Continual Learning with Plug-and-Play State Space Model and Class-Conditional Mixture of Discretization,245,2412.18177v1,cs.LG,"cs.LG,cs.AI,cs.CV",artificial intelligence,2024-12-24,2024-12-26T11:24:07.921053
Molar: Multimodal LLMs with Collaborative Filtering Alignment for Enhanced Sequential Recommendation,285,2412.18176v1,cs.IR,"cs.IR,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.922050
INVESTORBENCH: A Benchmark for Financial Decision-Making Tasks with LLM-based Agent,248,2412.18174v1,cs.CE,"cs.CE,cs.AI,q-fin.CP",artificial intelligence,2024-12-24,2024-12-26T11:24:07.922050
KunServe: Elastic and Efficient Large Language Model Serving with Parameter-centric Memory Management,343,2412.18169v1,cs.DC,"cs.DC,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.923047
Parallel Neural Computing for Scene Understanding from LiDAR Perception in Autonomous Racing,280,2412.18165v1,cs.CV,cs.CV,artificial intelligence,2024-12-24,2024-12-26T11:24:07.924045
"Survey of Pseudonymization, Abstractive Summarization & Spell Checker for Hindi and Marathi",142,2412.18163v1,cs.CL,"cs.CL,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.925042
Unsupervised Learning Approach for Beamforming in Cell-Free Integrated Sensing and Communication,309,2412.18162v1,eess.SP,eess.SP,artificial intelligence,2024-12-24,2024-12-26T11:24:07.926039
VISION: A Modular AI Assistant for Natural Human-Instrument Interaction at Scientific User Facilities,224,2412.18161v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.927036
Smooth-Foley: Creating Continuous Sound for Video-to-Audio Generation Under Semantic Guidance,250,2412.18157v1,cs.SD,"cs.SD,cs.AI,eess.AS",artificial intelligence,2024-12-24,2024-12-26T11:24:07.928034
scReader: Prompting Large Language Models to Interpret scRNA-seq Data,299,2412.18156v1,q-bio.GN,"q-bio.GN,cs.AI,cs.CL",artificial intelligence,2024-12-24,2024-12-26T11:24:07.929031
GeneSUM: Large Language Model-based Gene Summary Extraction,229,2412.18154v1,q-bio.GN,"q-bio.GN,cs.AI,cs.CL",artificial intelligence,2024-12-24,2024-12-26T11:24:07.930028
EvalMuse-40K: A Reliable and Fine-Grained Benchmark with Comprehensive Human Annotations for Text-to-Image Generation Model Evaluation,326,2412.18150v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.932023
Are We in the AI-Generated Text World Already? Quantifying and Monitoring AIGT on Social Media,379,2412.18148v1,cs.AI,"cs.AI,cs.CL,cs.CR,cs.SI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.933021
Text-Aware Adapter for Few-Shot Keyword Spotting,220,2412.18142v1,eess.AS,"eess.AS,cs.AI,eess.SP",artificial intelligence,2024-12-24,2024-12-26T11:24:07.934017
Exact Acceleration of Subgraph Graph Neural Networks by Eliminating Computation Redundancy,368,2412.18125v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.935015
Do Language Models Understand the Cognitive Tasks Given to Them? Investigations with the N-Back Paradigm,185,2412.18120v1,cs.CL,"cs.CL,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.936012
AutoDroid-V2: Boosting SLM-based GUI Agents via Code Generation,321,2412.18116v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.937009
AIGT: AI Generative Table Based on Prompt,221,2412.18111v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.937009
SlimGPT: Layer-wise Structured Pruning for Large Language Models,232,2412.18110v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.938007
SongGLM: Lyric-to-Melody Generation with 2D Alignment Encoding and Multi-Task Pre-Training,312,2412.18107v1,eess.AS,"eess.AS,cs.AI,cs.SD",artificial intelligence,2024-12-24,2024-12-26T11:24:07.939004
Video-Panda: Parameter-efficient Alignment for Encoder-free Video-Language Models,310,2412.18609v1,cs.CV,cs.CV,machine learning,2024-12-24,2024-12-26T11:24:08.619128
DrivingGPT: Unifying Driving World Modeling and Planning with Multi-modal Autoregressive Transformers,176,2412.18607v1,cs.CV,cs.CV,machine learning,2024-12-24,2024-12-26T11:24:08.620125
Orient Anything: Learning Robust Object Orientation Estimation from Rendering 3D Models,228,2412.18605v1,cs.CV,cs.CV,machine learning,2024-12-24,2024-12-26T11:24:08.620125
Long-Form Speech Generation with Spoken Language Models,240,2412.18603v1,cs.CL,"cs.CL,cs.SD,eess.AS",machine learning,2024-12-24,2024-12-26T11:24:08.621122
Decentralized Intelligence in GameFi: Embodied AI Agents and the Convergence of DeFi and Virtual Ecosystems,331,2412.18601v1,cs.CR,"cs.CR,cs.AI,cs.GT,cs.LG,cs.MA",machine learning,2024-12-24,2024-12-26T11:24:08.623116
ZeroHSI: Zero-Shot 4D Human-Scene Interaction by Video Generation,228,2412.18600v1,cs.CV,"cs.CV,cs.GR",machine learning,2024-12-24,2024-12-26T11:24:08.624114
Structure Learning in Gaussian Graphical Models from Glauber Dynamics,255,2412.18594v1,cs.LG,"cs.LG,stat.ML",machine learning,2024-12-24,2024-12-26T11:24:08.625111
Modeling the Centaur: Human-Machine Synergy in Sequential Decision Making,363,2412.18593v1,cs.HC,cs.HC,machine learning,2024-12-24,2024-12-26T11:24:08.626108
Text-Driven Tumor Synthesis,332,2412.18589v1,eess.IV,"eess.IV,cs.CV",machine learning,2024-12-24,2024-12-26T11:24:08.627106
Resolution-Robust 3D MRI Reconstruction with 2D Diffusion Priors: Diverse-Resolution Training Outperforms Interpolation,267,2412.18584v1,cs.CV,"cs.CV,cs.LG,eess.IV",machine learning,2024-12-24,2024-12-26T11:24:08.628103
Exploring Embedding Priors in Prompt-Tuning for Improved Interpretability and Control,274,2412.18582v1,cs.CL,"cs.CL,cs.LG",machine learning,2024-12-24,2024-12-26T11:24:08.629100
"ReducedLUT: Table Decomposition with ""Don't Care"" Conditions",246,2412.18579v1,cs.AR,"cs.AR,cs.LG",machine learning,2024-12-24,2024-12-26T11:24:08.630098
Machine Learning Approaches to the Shafarevich-Tate Group of Elliptic Curves,182,2412.18576v1,math.NT,"math.NT,11G05 (primary), 14Q05, 68T05 (secondary)",machine learning,2024-12-24,2024-12-26T11:24:08.630098
Scalable Quantum-Inspired Optimization through Dynamic Qubit Compression,203,2412.18571v1,quant-ph,"quant-ph,cs.DM,cs.LG",machine learning,2024-12-24,2024-12-26T11:24:08.631095
HNCI: High-Dimensional Network Causal Inference,229,2412.18568v1,stat.ML,"stat.ML,cs.LG,stat.ME",machine learning,2024-12-24,2024-12-26T11:24:08.632092
Efficient Aircraft Design Optimization Using Multi-Fidelity Models and Multi-fidelity Physics Informed Neural Networks,194,2412.18564v1,cs.LG,"cs.LG,cs.CE",machine learning,2024-12-24,2024-12-26T11:24:08.632092
Dynamic Optimization of Portfolio Allocation Using Deep Reinforcement Learning,229,2412.18563v1,q-fin.PM,q-fin.PM,machine learning,2024-12-24,2024-12-26T11:24:08.633090
FedVCK: Non-IID Robust and Communication-Efficient Federated Learning via Valuable Condensed Knowledge for Medical Image Analysis,330,2412.18557v1,cs.LG,cs.LG,machine learning,2024-12-24,2024-12-26T11:24:08.634087
Post-pandemic social contacts in Italy: implications for social distancing measures on in-person school and work attendance,355,2412.18549v1,physics.soc-ph,"physics.soc-ph,cs.SI,nlin.AO,physics.med-ph",machine learning,2024-12-24,2024-12-26T11:24:08.635084
Token-Budget-Aware LLM Reasoning,200,2412.18547v1,cs.CL,"cs.CL,cs.AI,cs.LG",machine learning,2024-12-24,2024-12-26T11:24:08.635084
Advancing Deformable Medical Image Registration with Multi-axis Cross-covariance Attention,368,2412.18545v1,eess.IV,"eess.IV,cs.AI,cs.CV",machine learning,2024-12-24,2024-12-26T11:24:08.636082
Consistency Checks for Language Model Forecasters,267,2412.18544v1,cs.LG,"cs.LG,cs.AI,cs.CL,stat.ML",machine learning,2024-12-24,2024-12-26T11:24:08.637079
PLD-Tree: Persistent Laplacian Decision Tree for Protein-Protein Binding Free Energy Prediction,258,2412.18541v1,q-bio.BM,q-bio.BM,machine learning,2024-12-24,2024-12-26T11:24:08.638076
Convergence of Statistical Estimators via Mutual Information Bounds,169,2412.18539v1,stat.ML,"stat.ML,cs.LG,math.ST,stat.TH",machine learning,2024-12-24,2024-12-26T11:24:08.638076
Harnessing Large Language Models for Knowledge Graph Question Answering via Adaptive Multi-Aspect Retrieval-Augmentation,331,2412.18537v1,cs.CL,cs.CL,machine learning,2024-12-24,2024-12-26T11:24:08.639074
Graph Structure Learning for Spatial-Temporal Imputation: Adapting to Node and Feature Scales,219,2412.18535v1,cs.LG,"cs.LG,cs.DB",machine learning,2024-12-24,2024-12-26T11:24:08.640071
GCN-ABFT: Low-Cost Online Error Checking for Graph Convolutional Networks,259,2412.18534v1,cs.AR,"cs.AR,cs.LG",machine learning,2024-12-24,2024-12-26T11:24:08.640071
Characterizations of Language Generation With Breadth,402,2412.18530v1,cs.LG,"cs.LG,cs.AI,cs.CL,cs.DS,stat.ML",machine learning,2024-12-24,2024-12-26T11:24:08.641068
Accelerating process control and optimization via machine learning: A review,125,2412.18529v1,eess.SY,"eess.SY,cs.LG,cs.SY",machine learning,2024-12-24,2024-12-26T11:24:08.642066
The Key of Understanding Vision Tasks: Explanatory Instructions,297,2412.18525v1,cs.CV,cs.CV,machine learning,2024-12-24,2024-12-26T11:24:08.643063
HTR-JAND: Handwritten Text Recognition with Joint Attention Network and Knowledge Distillation,371,2412.18524v1,cs.CV,cs.CV,machine learning,2024-12-24,2024-12-26T11:24:08.643063
"Pilot-Quantum: A Quantum-HPC Middleware for Resource, Workload and Task Management",360,2412.18519v1,quant-ph,"quant-ph,cs.DC,cs.ET",machine learning,2024-12-24,2024-12-26T11:24:08.644060
Bayesian Optimization of Bilevel Problems,154,2412.18518v1,cs.LG,"cs.LG,math.OC",machine learning,2024-12-24,2024-12-26T11:24:08.645058
"Subsampling, aligning, and averaging to find circular coordinates in recurrent time series",248,2412.18515v1,stat.ML,"stat.ML,cs.CG,cs.LG,math.AT",machine learning,2024-12-24,2024-12-26T11:24:08.645058
FedGIG: Graph Inversion from Gradient in Federated Learning,178,2412.18513v1,cs.LG,"cs.LG,cs.CR",machine learning,2024-12-24,2024-12-26T11:24:08.646055
Large Language Model guided Deep Reinforcement Learning for Decision Making in Autonomous Driving,287,2412.18511v1,cs.RO,cs.RO,machine learning,2024-12-24,2024-12-26T11:24:08.647052
An Empirical Analysis of Federated Learning Models Subject to Label-Flipping Adversarial Attack,229,2412.18507v1,cs.LG,cs.LG,machine learning,2024-12-24,2024-12-26T11:24:08.647052
VORTEX: A Spatial Computing Framework for Optimized Drone Telemetry Extraction from First-Person View Flight Data,313,2412.18505v1,cs.CV,"cs.CV,cs.LG",machine learning,2024-12-24,2024-12-26T11:24:08.648050
Joint Adaptive OFDM and Reinforcement Learning Design for Autonomous Vehicles: Leveraging Age of Updates,363,2412.18500v1,eess.SP,"eess.SP,cs.AI",machine learning,2024-12-24,2024-12-26T11:24:08.649047
An Overview and Discussion of the Suitability of Existing Speech Datasets to Train Machine Learning Models for Collective Problem Solving,132,2412.18489v1,cs.LG,"cs.LG,cs.AI",machine learning,2024-12-24,2024-12-26T11:24:08.649047
"A region-wide, multi-year set of crop field boundary labels for Africa",371,2412.18483v1,cs.CV,cs.CV,machine learning,2024-12-24,2024-12-26T11:24:08.651042
Betting vs. Trading: Learning a Linear Decision Policy for Selling Wind Power and Hydrogen,216,2412.18479v1,eess.SY,"eess.SY,cs.SY",machine learning,2024-12-24,2024-12-26T11:24:08.651042
MotifGPL: Motif-Enhanced Graph Prototype Learning for Deciphering Urban Social Segregation,313,2412.18464v1,cs.AI,"cs.AI,cs.SI",machine learning,2024-12-24,2024-12-26T11:24:08.652039
GeFL: Model-Agnostic Federated Learning with Generative Models,224,2412.18460v1,cs.LG,"cs.LG,cs.AI",machine learning,2024-12-24,2024-12-26T11:24:08.653036
