title,abstract,token_count,arxiv_id,category,categories,query_field,published_date,collection_timestamp
Formal Mathematical Reasoning: A New Frontier in AI,"AI for Mathematics (AI4Math) is not only intriguing intellectually but also
crucial for AI-driven discovery in science, engineering, and beyond. Extensive
efforts on AI4Math have mirrored techniques in NLP, in particular, training
large language models on carefully curated math datasets in text form. As a
complementary yet less explored avenue, formal mathematical reasoning is
grounded in formal systems such as proof assistants, which can verify the
correctness of reasoning and provide automatic feedback. In this position
paper, we advocate for formal mathematical reasoning and argue that it is
indispensable for advancing AI4Math to the next level. In recent years, we have
seen steady progress in using AI to perform formal reasoning, including core
tasks such as theorem proving and autoformalization, as well as emerging
applications such as verifiable generation of code and hardware designs.
However, significant challenges remain to be solved for AI to truly master
mathematics and achieve broader impact. We summarize existing progress, discuss
open challenges, and envision critical milestones to measure future success. At
this inflection point for formal mathematical reasoning, we call on the
research community to come together to drive transformative advancements in
this field.",249,2412.16075v1,cs.AI,"cs.AI,cs.LG,cs.LO",artificial intelligence,2024-12-20,2024-12-23T21:06:22.917719
Label-Efficient Data Augmentation with Video Diffusion Models for Guidewire Segmentation in Cardiac Fluoroscopy,"The accurate segmentation of guidewires in interventional cardiac fluoroscopy
videos is crucial for computer-aided navigation tasks. Although deep learning
methods have demonstrated high accuracy and robustness in wire segmentation,
they require substantial annotated datasets for generalizability, underscoring
the need for extensive labeled data to enhance model performance. To address
this challenge, we propose the Segmentation-guided Frame-consistency Video
Diffusion Model (SF-VD) to generate large collections of labeled fluoroscopy
videos, augmenting the training data for wire segmentation networks. SF-VD
leverages videos with limited annotations by independently modeling scene
distribution and motion distribution. It first samples the scene distribution
by generating 2D fluoroscopy images with wires positioned according to a
specified input mask, and then samples the motion distribution by progressively
generating subsequent frames, ensuring frame-to-frame coherence through a
frame-consistency strategy. A segmentation-guided mechanism further refines the
process by adjusting wire contrast, ensuring a diverse range of visibility in
the synthesized image. Evaluation on a fluoroscopy dataset confirms the
superior quality of the generated videos and shows significant improvements in
guidewire segmentation.",247,2412.16050v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.918715
Applying Predictive Analytics to Occupational Health and Safety in India,"Predictive analytics is revolutionizing occupational health and safety (OHS).
It offers evidence-based insights. These insights enable proactive risk
management and informed, data-driven decision-making in organizational
settings. This paper explores the key components of predictive analytics in
OHS, beginning with data collection, management, and preparation, and moving
through to advanced predictive modelling techniques. We emphasize the
importance of data integrity through processes such as missing value
imputation, anomaly detection, and feature engineering to ensure accurate model
predictions. Risk prioritization identifies and ranks hazards across various
factors, including employee behaviours, organizational policies, environmental
conditions, and operational practices. We posit that insights derived from
predictive models must be effectively interpreted and implemented. These
insights guide organizations to focus on high-impact areas for accident
prevention and resource optimization. The integration of predictive analytics
in OHS brings notable benefits, including enhanced decision-making, greater
operational efficiency, cost savings, and improved compliance with safety
standards. We examine applications of predictive analytics in OHS in Indian
settings. India has the largest workforce in the world, and the predominance of
it is in the informal sector - a sector largely unprotected by the already
inadequate OHS laws. Ethical considerations, data privacy concerns, and the
risk of overdependence on predictive models are discussed. We conclude with a
discussion on the potential for predictive analytics to create a data-oriented,
adaptive approach to OHS in India. We posit that, using predictive analytics,
India can develop high safety standards while traversing the complexities of
its workforce setting.",330,2412.16038v1,cs.CY,"cs.CY,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.919712
A Framework for Streaming Event-Log Prediction in Business Processes,"We present a Python-based framework for event-log prediction in streaming
mode, enabling predictions while data is being generated by a business process.
The framework allows for easy integration of streaming algorithms, including
language models like n-grams and LSTMs, and for combining these predictors
using ensemble methods.
  Using our framework, we conducted experiments on various well-known
process-mining data sets and compared classical batch with streaming mode.
Though, in batch mode, LSTMs generally achieve the best performance, there is
often an n-gram whose accuracy comes very close. Combining basic models in
ensemble methods can even outperform LSTMs. The value of basic models with
respect to LSTMs becomes even more apparent in streaming mode, where LSTMs
generally lack accuracy in the early stages of a prediction run, while basic
methods make sensible predictions immediately.",173,2412.16032v1,cs.AI,"cs.AI,cs.LG",artificial intelligence,2024-12-20,2024-12-23T21:06:22.920710
The Only Way is Ethics: A Guide to Ethical Research with Large Language Models,"There is a significant body of work looking at the ethical considerations of
large language models (LLMs): critiquing tools to measure performance and
harms; proposing toolkits to aid in ideation; discussing the risks to workers;
considering legislation around privacy and security etc. As yet there is no
work that integrates these resources into a single practical guide that focuses
on LLMs; we attempt this ambitious goal. We introduce 'LLM Ethics Whitepaper',
which we provide as an open and living resource for NLP practitioners, and
those tasked with evaluating the ethical implications of others' work. Our goal
is to translate ethics literature into concrete recommendations and
provocations for thinking with clear first steps, aimed at computer scientists.
'LLM Ethics Whitepaper' distils a thorough literature review into clear Do's
and Don'ts, which we present also in this paper. We likewise identify useful
toolkits to support ethical work. We refer the interested reader to the full
LLM Ethics Whitepaper, which provides a succinct discussion of ethical
considerations at each stage in a project lifecycle, as well as citations for
the hundreds of papers from which we drew our recommendations. The present
paper can be thought of as a pocket guide to conducting ethical research with
LLMs.",263,2412.16022v1,cs.CL,"cs.CL,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.920710
Choose Your Explanation: A Comparison of SHAP and GradCAM in Human Activity Recognition,"Explaining machine learning (ML) models using eXplainable AI (XAI) techniques
has become essential to make them more transparent and trustworthy. This is
especially important in high-stakes domains like healthcare, where
understanding model decisions is critical to ensure ethical, sound, and
trustworthy outcome predictions. However, users are often confused about which
explanability method to choose for their specific use case. We present a
comparative analysis of widely used explainability methods, Shapley Additive
Explanations (SHAP) and Gradient-weighted Class Activation Mapping (GradCAM),
within the domain of human activity recognition (HAR) utilizing graph
convolutional networks (GCNs). By evaluating these methods on skeleton-based
data from two real-world datasets, including a healthcare-critical cerebral
palsy (CP) case, this study provides vital insights into both approaches'
strengths, limitations, and differences, offering a roadmap for selecting the
most appropriate explanation method based on specific models and applications.
We quantitatively and quantitatively compare these methods, focusing on feature
importance ranking, interpretability, and model sensitivity through
perturbation experiments. While SHAP provides detailed input feature
attribution, GradCAM delivers faster, spatially oriented explanations, making
both methods complementary depending on the application's requirements. Given
the importance of XAI in enhancing trust and transparency in ML models,
particularly in sensitive environments like healthcare, our research
demonstrates how SHAP and GradCAM could complement each other to provide more
interpretable and actionable model explanations.",315,2412.16003v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.921707
CNN-LSTM Hybrid Deep Learning Model for Remaining Useful Life Estimation,"Remaining Useful Life (RUL) of a component or a system is defined as the
length from the current time to the end of the useful life. Accurate RUL
estimation plays a crucial role in Predictive Maintenance applications.
Traditional regression methods, both linear and non-linear, have struggled to
achieve high accuracy in this domain. While Convolutional Neural Networks
(CNNs) have shown improved accuracy, they often overlook the sequential nature
of the data, relying instead on features derived from sliding windows. Since
RUL prediction inherently involves multivariate time series analysis, robust
sequence learning is essential. In this work, we propose a hybrid approach
combining Convolutional Neural Networks with Long Short-Term Memory (LSTM)
networks for RUL estimation. Although CNN-based LSTM models have been applied
to sequence prediction tasks in financial forecasting, this is the first
attempt to adopt this approach for RUL estimation in prognostics. In this
approach, CNN is first employed to efficiently extract features from the data,
followed by LSTM, which uses these extracted features to predict RUL. This
method effectively leverages sensor sequence information, uncovering hidden
patterns within the data, even under multiple operating conditions and fault
scenarios. Our results demonstrate that the hybrid CNN-LSTM model achieves the
highest accuracy, offering a superior score compared to the other methods.",281,2412.15998v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.922705
Data-Centric Improvements for Enhancing Multi-Modal Understanding in Spoken Conversation Modeling,"Conversational assistants are increasingly popular across diverse real-world
applications, highlighting the need for advanced multimodal speech modeling.
Speech, as a natural mode of communication, encodes rich user-specific
characteristics such as speaking rate and pitch, making it critical for
effective interaction. Our work introduces a data-centric customization
approach for efficiently enhancing multimodal understanding in conversational
speech modeling. Central to our contributions is a novel multi-task learning
paradigm that involves designing auxiliary tasks to utilize a small amount of
speech data. Our approach achieves state-of-the-art performance on the
Spoken-SQuAD benchmark, using only 10% of the training data with open-weight
models, establishing a robust and efficient framework for audio-centric
conversational modeling. We also introduce ASK-QA, the first dataset for
multi-turn spoken dialogue with ambiguous user requests and dynamic evaluation
inputs. Code and data forthcoming.",187,2412.15995v1,cs.CL,"cs.CL,cs.AI,cs.SD,eess.AS",artificial intelligence,2024-12-20,2024-12-23T21:06:22.922705
APIRL: Deep Reinforcement Learning for REST API Fuzzing,"REST APIs have become key components of web services. However, they often
contain logic flaws resulting in server side errors or security
vulnerabilities. HTTP requests are used as test cases to find and mitigate such
issues. Existing methods to modify requests, including those using deep
learning, suffer from limited performance and precision, relying on undirected
search or making limited usage of the contextual information. In this paper we
propose APIRL, a fully automated deep reinforcement learning tool for testing
REST APIs. A key novelty of our approach is the use of feedback from a
transformer module pre-trained on JSON-structured data, akin to that used in
API responses. This allows APIRL to learn the subtleties relating to test
outcomes, and generalise to unseen API endpoints. We show APIRL can find
significantly more bugs than the state-of-the-art in real world REST APIs while
minimising the number of required test cases. We also study how reward
functions, and other key design choices, affect learnt policies in a thorough
ablation study.",218,2412.15991v1,cs.SE,"cs.SE,cs.AI,cs.NI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.923702
Feedback Regulated Opto-Mechanical Soft Robotic Actuators,"Natural organisms can convert environmental stimuli into sensory feedback to
regulate their body and realize active adaptivity. However, realizing such a
feedback-regulation mechanism in synthetic material systems remains a grand
challenge. It is believed that achieving complex feedback mechanisms in
responsive materials will pave the way toward autonomous, intelligent structure
and actuation without complex electronics. Inspired by living systems, we
report a general principle to design and construct such feedback loops in
light-responsive materials. Specifically, we design a baffle-actuator mechanism
to incorporate programmed feedback into the opto-mechanical responsiveness. By
simply addressing the baffle position with respect to the incident light beam,
positive and negative feedback are programmed. We demonstrate the
transformation of a light-bending strip into a switcher, where the intensity of
light determines the energy barrier under positive feedback, realizing
multi-stable shape-morphing. By leveraging the negative feedback and associated
homeostasis, we demonstrate two soft robots, i.e., a locomotor and a swimmer.
Furthermore, we unveil the ubiquity of feedback in light-responsive materials,
which provides new insight into self-regulated robotic matters.",236,2412.15990v1,cs.RO,"cs.RO,cond-mat.mtrl-sci",artificial intelligence,2024-12-20,2024-12-23T21:06:22.924699
Never Reset Again: A Mathematical Framework for Continual Inference in Recurrent Neural Networks,"Recurrent Neural Networks (RNNs) are widely used for sequential processing
but face fundamental limitations with continual inference due to state
saturation, requiring disruptive hidden state resets. However, reset-based
methods impose synchronization requirements with input boundaries and increase
computational costs at inference. To address this, we propose an adaptive loss
function that eliminates the need for resets during inference while preserving
high accuracy over extended sequences. By combining cross-entropy and
Kullback-Leibler divergence, the loss dynamically modulates the gradient based
on input informativeness, allowing the network to differentiate meaningful data
from noise and maintain stable representations over time. Experimental results
demonstrate that our reset-free approach outperforms traditional reset-based
methods when applied to a variety of RNNs, particularly in continual tasks,
enhancing both the theoretical and practical capabilities of RNNs for streaming
applications.",178,2412.15983v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.924699
Self-Supervised Radiograph Anatomical Region Classification -- How Clean Is Your Real-World Data?,"Modern deep learning-based clinical imaging workflows rely on accurate labels
of the examined anatomical region. Knowing the anatomical region is required to
select applicable downstream models and to effectively generate cohorts of high
quality data for future medical and machine learning research efforts. However,
this information may not be available in externally sourced data or generally
contain data entry errors. To address this problem, we show the effectiveness
of self-supervised methods such as SimCLR and BYOL as well as supervised
contrastive deep learning methods in assigning one of 14 anatomical region
classes in our in-house dataset of 48,434 skeletal radiographs. We achieve a
strong linear evaluation accuracy of 96.6% with a single model and 97.7% using
an ensemble approach. Furthermore, only a few labeled instances (1% of the
training set) suffice to achieve an accuracy of 92.2%, enabling usage in
low-label and thus low-resource scenarios. Our model can be used to correct
data entry mistakes: a follow-up analysis of the test set errors of our
best-performing single model by an expert radiologist identified 35% incorrect
labels and 11% out-of-domain images. When accounted for, the radiograph
anatomical region labelling performance increased -- without and with an
ensemble, respectively -- to a theoretical accuracy of 98.0% and 98.8%.",282,2412.15967v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.925696
Optimization of Beyond Diagonal RIS: A Universal Framework Applicable to Arbitrary Architectures,"Reconfigurable intelligent surfaces (RISs) are envisioned as a promising
technology for future wireless communication systems due to their ability to
control the propagation environment in a hardware- and energy-efficient way.
Recently, the concept of RISs has been extended to beyond diagonal RISs
(BD-RISs), which unlock the full potential of RISs thanks to the presence of
tunable interconnections between RIS elements. While various algorithms have
been proposed for specific BD-RIS architectures, a universal optimization
framework applicable to arbitrary architectures is still lacking. In this
paper, we bridge this research gap by proposing an architecture-independent
framework for BD-RIS optimization, with the main focus on sum-rate maximization
and transmit power minimization in multiuser multi-input single-output
(MU-MISO) systems. Specifically, we first incorporate BD-RIS architectures into
the models by connecting the scattering matrix with the admittance matrix and
introducing appropriate constraints to the admittance matrix. The formulated
problems are then solved by our custom-designed partially proximal alternating
direction method of multipliers (pp-ADMM) algorithms. The pp-ADMM algorithms
are computationally efficient, with each subproblem either admitting a
closed-form solution or being easily solvable. We further explore the extension
of the proposed framework to general utility functions and multiuser
multi-input multi-output (MU-MIMO) systems. Simulation results demonstrate that
the proposed approaches achieve a better trade-off between performance and
computational efficiency compared to existing methods. We also compare the
performance of various BD-RIS architectures in MU-MISO systems using the
proposed approach, which has not been explored before due to the lack of an
architecture-independent framework.",366,2412.15965v1,eess.SP,"eess.SP,cs.IT,math.IT,math.OC",artificial intelligence,2024-12-20,2024-12-23T21:06:22.926694
From General to Specific: Tailoring Large Language Models for Personalized Healthcare,"The rapid development of large language models (LLMs) has transformed many
industries, including healthcare. However, previous medical LLMs have largely
focused on leveraging general medical knowledge to provide responses, without
accounting for patient variability and lacking true personalization at the
individual level. To address this, we propose a novel method called
personalized medical language model (PMLM), which explores and optimizes
personalized LLMs through recommendation systems and reinforcement learning
(RL). Specifically, by utilizing self-informed and peer-informed
personalization, PMLM captures changes in behaviors and preferences to design
initial personalized prompts tailored to individual needs. We further refine
these initial personalized prompts through RL, ultimately enhancing the
precision of LLM guidance. Notably, the personalized prompt are hard prompt,
which grants PMLM high adaptability and reusability, allowing it to directly
leverage high-quality proprietary LLMs. We evaluate PMLM using real-world
obstetrics and gynecology data, and the experimental results demonstrate that
PMLM achieves personalized responses, and it provides more refined and
individualized services, offering a potential way for personalized medical
LLMs.",239,2412.15957v1,cs.CL,"cs.CL,cs.AI,cs.IR",artificial intelligence,2024-12-20,2024-12-23T21:06:22.927692
Trust Calibration in IDEs: Paving the Way for Widespread Adoption of AI Refactoring,"In the software industry, the drive to add new features often overshadows the
need to improve existing code. Large Language Models (LLMs) offer a new
approach to improving codebases at an unprecedented scale through AI-assisted
refactoring. However, LLMs come with inherent risks such as braking changes and
the introduction of security vulnerabilities. We advocate for encapsulating the
interaction with the models in IDEs and validating refactoring attempts using
trustworthy safeguards. However, equally important for the uptake of AI
refactoring is research on trust development. In this position paper, we
position our future work based on established models from research on human
factors in automation. We outline action research within CodeScene on
development of 1) novel LLM safeguards and 2) user interaction that conveys an
appropriate level of trust. The industry collaboration enables large-scale
repository analysis and A/B testing to continuously guide the design of our
research interventions.",201,2412.15948v1,cs.SE,"cs.SE,cs.AI,cs.HC",artificial intelligence,2024-12-20,2024-12-23T21:06:22.927692
pyRheo: An open-source Python package for complex rheology,"Mathematical modeling is a powerful tool in rheology, and we present pyRheo,
an open-source package for Python designed to streamline the analysis of creep,
stress relaxation, oscillation, and rotation tests. pyRheo contains a
comprehensive selection of viscoelastic models, including fractional order
approaches. It integrates model selection and fitting features and employs
machine intelligence to suggest a model to describe a given dataset. The
package fits the suggested model or one chosen by the user. An advantage of
using pyRheo is that it addresses challenges associated with sensitivity to
initial guesses in parameter optimization. It allows the user to iteratively
search for the best initial guesses, avoiding convergence to local minima. We
discuss the capabilities of pyRheo and compare them to other tools for
rheological modeling of biological matter. We demonstrate that pyRheo
significantly reduces the computation time required to fit high-performance
viscoelastic models.",198,2412.15941v1,cond-mat.soft,cond-mat.soft,artificial intelligence,2024-12-20,2024-12-23T21:06:22.928688
